endTime,artistName,trackName,msPlayed
2022-07-03 23:07,Pop Smoke,What You Know Bout Love,39427
2022-07-03 23:12,DJ Khaled,Take It To The Head,241337
2022-07-03 23:12,NSG,Natural Disaster,1088
2022-07-03 23:12,N'seven7,OTT #1,960
2022-07-03 23:14,Sugarboy,Hola Hola,0
2022-07-03 23:14,Mut4y,Bad,1220
2022-07-03 23:14,Mayorkun,Bobo,670
2022-07-03 23:14,Chris Brown,Deuces (feat. Tyga & Kevin McCall),140825
2022-07-03 23:17,Maleek Berry,Own It,181681
2022-07-03 23:20,D'Prince,So Nice,178958
2022-07-03 23:24,Rihanna,Shut Up And Drive,212279
2022-07-03 23:26,Chip,CRB Check (feat. Not3s),112044
2022-07-03 23:26,AMARIA BB,Slow Motion,970
2022-07-03 23:26,Alkaline,Suave,640
2022-07-03 23:28,AMARIA BB,Slow Motion,165999
2022-07-03 23:33,NSG,Nonsense,4380
2022-07-03 23:33,Burna Boy,Like to Party,20810
2022-07-03 23:33,Ajebutter22,Omo Pastor,2420
2022-07-03 23:33,Alkaline,Suave,257998
2022-07-03 23:37,Popcaan,Ova Dweet,221193
2022-07-03 23:38,Fetty Wap,Again,96373
2022-07-03 23:42,Charly Black,Bike Back,209766
2022-07-03 23:42,Cruel Santino,HEATING ROCKS,21810
2022-07-03 23:42,Young T & Bugsey,Glistenin',0
2022-07-03 23:42,Mohombi,Bumpy Ride,0
2022-07-03 23:45,David Meli,Temperature Rise,156028
2022-07-03 23:48,LunchMoney Lewis,Make That Cake (feat. Doja Cat),173695
2022-07-03 23:49,Odunsi (The Engine),airplane mode,82580
2022-07-03 23:52,Mahalia,I Wish I Missed My Ex,2889
2022-07-03 23:52,Boj,Money & Laughter,151167
2022-07-03 23:52,Jorja Smith,Come Over (feat. Popcaan),9210
2022-07-04 00:30,D'Prince,So Nice,178957
2022-07-04 00:33,Deji Abdul,Bandana,193999
2022-07-04 00:36,Prettyboy D-O,Mentally,167966
2022-07-04 00:40,Future,Life Is Good (feat. Drake),237735
2022-07-04 00:43,6ix9ine,TROLLZ (with Nicki Minaj),202665
2022-07-04 00:46,"Popcaan ,Davido",My Story,3935
2022-07-04 00:46,Cuppy,Karma,673
2022-07-04 00:46,Cuppy,Labalaba,176269
2022-07-04 00:49,Ariana Grande,sweetener,198159
